service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2023_09_11-SU-MVS-Sunday-02,0,0,0,0,0,0,1,20240101,20240114
2023_09_11-DX-MVS-Weekday-02,1,1,1,1,1,0,0,20240102,20240112
2023_09_11-SA-MVS-Saturday-02,0,0,0,0,0,1,0,20240106,20240113
2023_09_11-SU19-Sunday-01,0,0,0,0,0,0,1,20240101,20240114
2023_09_11-DX19-Weekday-01,1,1,1,1,1,0,0,20240102,20240112
2023_09_11-SA19-Saturday-01,0,0,0,0,0,1,0,20240106,20240113
2023_09_11-SU20-Sunday-01,0,0,0,0,0,0,1,20240101,20240114
2023_09_11-DX20-Weekday-01,1,1,1,1,1,0,0,20240102,20240112
2023_09_11-SA20-Saturday-01,0,0,0,0,0,1,0,20240106,20240113
